id,title,manufacturer,price
1,ca international arcserve lap/desktop oem 30pk,computer associates,
2,noah 's ark activity center ( jewel case ages 3-8 ),victory multimedia,
3,peachtree by sage premium accounting for nonprofits 2007,sage software,599.99
11,nfs maestro solo 2006 1u,hummingbird communications,309.56
13,spy sweeper spanish,webroot software,29.95
19,school zone pencil-pal software big phonics ( cd-rom & book ),school-zone-interactive,
22,musicalis guitar workshop,global-software-publishing,9.99
27,i copy dvds 2 professional edition,me-too-software,69.99
28,gen-x media made easy vol . 3,gen-x,49.95
45,elementary school success deluxe 2006,topics entertainment,49.99
46,national geographic presents : redshift planetarium,topics entertainment,29.99
62,stomp inc drive washer,stomp inc,
67,netgear vpn01l vpn client software,netgear,89.99
69,eastwest bsendorfer 290 grand piano virtual instrument,eastwest,199.95
73,snap ! 10 000 drink recipies ( jewel case ),topics entertainment,4.99
78,emedia intermediate guitar method os x,emedia,59.99
88,total training for adobe creative suite 3 : design premium bundle,total training,299.99
96,sonicwall internet upgrade ( 50-node ),sonicwall,
99,listen for ipod magnetic time,sos-aggregation-company,39.99
101,atari arcade classics ( mac ),macsoft,19.99
103,my sim aquarium,viva media,19.99
104,scrabble,destineer,24.99
117,hidden expedition : titanic,activision,19.99
119,sierra hallmark card studio special edition windows ),nova development,
121,microsoft licenses exch . srvr extrn conn sa eng ( 39400416 ),microsoft licenses,42166.22
123,master server-upg,novastor corporation,
125,compaq comp . rapid deployment pk-flexible lic kit 302127-b21 ),compaq computer,
132,upgrade emc retrospect 7.5 multi server windows only,dantz,
139,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0
145,microsoft virtual pc for mac 7.0 with windows 2000,microsoft,249.99
147,red hat entprse linux as 3 amd rhf0211us ),red hat software,
154,cisco 3745 ser ios ent cd374-esk9 = ),cisco systems enterprise,2814.33
158,photo objects 150 000 for macintosh,nova development,49.99
160,fontware pro +,informatics,
161,gods : lands of infinity special edition,strategy first,29.99
163,hallmark blank greeting cards half-fold matte premium 20 count,nova development,12.99
167,prosoft tunetech for ipod ( mac ),prosoft engineering,74.99
172,ca arcserve bkup r11 .5 win agent mac os x upgrade prod only,computer associates,
181,emedia rock guitar method,emedia,39.99
183,jumpstart reading with karaoke,knowledge adventure,29.99
185,iremember digital scrapbooking 2.0,intriguing development,39.95
186,learn2 training for microsoft powerpoint,topics-entertainment-software - ( consignment ),9.99
193,backup exec 10d win adv disk v10 .1 lic only ( e180518 ),symantec corporation .,983.34
194,procurve manager plus upgrade -,hewlett packard,
196,world of warcraft pc,vivendi,35.7
201,backup exec netware remote agt win/netware svr v9 .2 e/g,veritas,295.0
204,cisco ios enterprise services complete package cd28-esk9 = ),cisco systems enterprise,
207,crystal reports 11 professional full product french,business objects,909.66
210,upgrade terminal emulation software 2006 with media 1u,esker,
211,microsoft entertainment pack ce,microsoft,49.5
212,diskeeper 2007 pro premier 10-lic pack,diskeeper corporation,1372.21
215,netmanage rumba web to host as400 ed v4 .2 910623-000 ),netmanage,
217,cisco syst . minor release : requires existing cww-6 .1 - win-mr ),cisco systems enterprise,
226,refviz v2 mac single user,isi researchsoft,299.95
237,persoft upg smarterm office v12 .1 73098 ),persoft,
245,dora the explorer : dora 's world adventures,activision,19.99
257,ca brightstor arcserve backup r11 .5 for enterprise option for advantage ingres for,computer associates,
259,library expansion option-upg,novastor corporation,
261,procurve mobility manager 1.0 is a plug-in module for procurve manager plus 2.0,hewlett packard,
264,adobe photoshop cs3 extended [ mac ],adobe,999.0
272,adobe audition 2.0,adobe,349.0
275,easy drums ( jewel case ),arcmedia,9.99
282,elementary success deluxe 2006 ( dw dvd ),topics entertainment,49.99
284,sibelius 5 educational edition,sibelius-software-ltd .,329.0
286,my maillist & addressbook,mysoftware company,19.95
291,wacky bird hunter,selectsoft publishing,19.95
302,encyclopedia britannica profiles : dinosaurs ( jewel case ),atari,9.99
323,geometry ( win/mac ) ( jewel case ),fogware publishing,9.99
325,cross stitch design studio ( jewel case ),m-and-r-technologies,9.99
326,math missions : the race to spectacle city arcade ( grades k-2 ),scholastic,29.95
330,ghostsurf platinum 2006 [ lb ],avanquest publishing usa inc.,39.99
347,jumpstart advanced 1st grade v2 .0,knowledge adventure,19.99
348,microsoft office & windows training,topics entertainment,29.99
355,zonealarm internet security suite,zone labs,49.99
358,perfect attorney premium,cosmi corporation,39.99
366,riverdeep arthur 's kindergarten,riverdeep,
367,big oil : build an oil empire,tri synergy,19.99
369,tlc arthur 's kindergarten learning system 2008,encore,19.99
376,printmaster gold v 17.0,nova development,19.95
377,pc cillin internet sec 2007 lics large box 3u,trend micro,49.95
387,home budget for dummies,atari,
395,world history ( win/mac ) ( jewel case ),fogware publishing,9.99
397,quickstart pc cleaner xp,selectsoft publishing,19.95
408,before you know it deluxe spanish edition for pc/mac,encore software,29.99
409,pdf converter 4,nuance,49.95
418,essential business tools 2.0,valusoft,19.99
421,3mds network operations manager diy annual subscptn 101 500u,3m,
422,model web publisher 3.5.2 .,computer-associates-international,
426,ca arcserve bkup protection suite exch r11 .5 upgrade prod only,computer associates,
428,zonealarm anti-spyware,zone labs,29.99
434,upgrade pitstop server 3.5 1u win 2k/xp & mac os 10.2.8,enfocus software,499.0
436,sudoku puzzle addict : unlimited edition,global-software-publ-na,
449,boomerang webpage designer gold,boomerang,
