id,title,authors,venue,year
5,schema and database evolution in the o2 object database system,"f ferrandina , t meyer , r zicari , g ferran , j madec",vldb,1995
12,mpeg-7 and multimedia database systems,h kosch,sigmod record,2002
19,mining generalized association rules,"r srikant , r agrawal",vldb,1995
38,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli",sigmod record,2002
43,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai",vldb,1995
47,"db2 common server : technology , progress , & directions",b lindsay,vldb,1995
63,book review column,k aberer,sigmod record,2002
67,dalэ : a high performance main memory storage manager,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",vldb,1994
77,a transaction replication scheme for a replicated database with node autonomy,"a fu , d cheung",vldb,1994
78,treasurer 's message,,,2002
79,a top-down approach for two level serializability,"m ouzzani , m atroun , n belkhodja",vldb,1994
88,hector garcia-molina speaks out,m winslett,,2002
91,toward autonomic computing with db2 universal database,"s lightstone , g lohman , d zilio",sigmod record,2002
92,reminiscences on influential papers,,,2002
95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994
111,the p operator : discovering and ranking associations on the semantic web,"k anyanwu , a sheth",sigmod record,2002
131,on database theory and xml,d suciu,sigmod record,2001
136,query optimization by predicate move-around,"a levy , i mumick , y sagiv",vldb,1994
148,reminiscences on influential papers,,,2001
152,report on the 2001 sigmod and pods awards,,,2001
159,eiha ?!? : deploying web and wap services using xml technology,"c biancheri , j pazzaglia , g paddeu",sigmod record,2001
181,a multidatabase system for tracking and retrieval of financial data,"m cochinwala , j bradley",vldb,1994
187,treasurer 's message,,,2001
191,career-enhancing services at sigmod online,"a labrinidis , a mendelzon",sigmod record,2001
195,data mining-based intrusion detectors : an overview of the columbia ids project,"s stolfo , w lee , p chan , w fan , e eskin",sigmod record,2001
207,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001
218,information warfare and security - book review,,,2001
219,treasurer 's message,,,2000
220,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",,,2001
223,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003
249,the xml typechecking problem,d suciu,sigmod record,2002
267,editor 's notes,m franklin,sigmod record,1999
268,rights protection for relational data,"r sion , m atallah , s prabhakar",sigmod conference,2003
271,information sharing across private databases,"r agrawal , a evfimievski , r srikant",sigmod conference,2003
276,birn-m : a semantic mediator for solving real-world neuroscience problems,"a gupta , b ludфscher , m martone",sigmod conference,2003
281,improving the efficiency of database-system teaching,j ullman,sigmod conference,2003
289,evaluating probabilistic queries over imprecise data,"r cheng , d kalashnikov , s prabhakar",sigmod conference,2003
297,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,2003
322,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003
324,extracting and exploiting structure in text search,p raghavan,sigmod conference,2003
348,the future of web services - i,a bosworth,sigmod conference,2003
361,xml and information retrieval : a sigir 2000 workshop,,,2001
369,quality of service in multimedia digital libraries,"e bertino , a elmagarmid , m hacid",sigmod record,2001
373,reminiscences on influential papers,,,2001
377,rondo : a programming platform for generic model management,"s melnik , e rahm , p bernstein",sigmod conference,2003
