id,title,authors,venue,year
15,classical topology and combinatorial group theory,j stillwell,,1995.0
26,a correctness proof for a practical byzantine-fault-tolerant replication algorithm . technical memo,"m castro , b liskov",,1999.0
37,caldwell,"p consultants , b pc","& hellip ; for comparison of supplemental technology demonstration & hellip ; ,",
52,optimally sparse representations in general dictionaries by l 1 minimization,"d donoho , m elad","technical report , statistics department , stanford university ,",
57,"ã cents â ? ¬ å?conflict detection tradeoffs for replicated data , ã cents â ? ¬ â ?","jm carey , m livny",acm,
82,"semantics , pragmatics , and second language acquisition : the case of combien extractions","l dekydtspotter , ra sprouse , k swanson , r thyre","proceedings of the 23rd annual boston university conference & hellip ; ,",
95,new developments in laser resonators,ae siegman,,1990.0
122,aspects of disc brake judder,h jacobsson,"proceedings of the i mech e part d journal of automobile & hellip ; ,",2003.0
133,"hermes : a heterogeneous reasoning and mediator system , 1994","vs subrahmanian , s adali , a brink , r emery , jl lu ,",submitted for,
134,proposed air force guidelines for successfully supporting the intrinsic remediation ( natural,"th wiedemeier , jt wilson , dh kampbell , rn miller","proceedings , 1994 outdoor action conference , may 23-25 , & hellip ; ,",
171,using new clues to find data,"c fie1771 fields , n negroponte","third international conference on very large data bases , & hellip ; ,",
172,"imino esters : versatile substrates for the catalytic , asymmetric synthesis of r-and î ² -","ae taggi , am hafez , tr lectka","amino acids and î ² - lactams . acc . chem . res ,",
184,"potential interference to gps from uwb transmitters ; phase ii test results : accuracy , loss-of-lock ,","m luo , m koenig , d akos , s pullen , p enge","technical report 3.0 , stanford university , march",
190,"behavioral ecology and the evolution of hunter-gatherer societies on the northern channel islands ,",dj kennett,,1998.0
207,transportation and world development,jc lowe,"economic geography ,",1988.0
239,"communication skills training for health care professionals working with cancer patients , their","d fellowes , s wilkinson , p moore","cochrane database syst rev ,",2003.0
244,the house mouse : atlas of embryonic development,k theiler,,1989.0
247,soft-link hypertext for information retrieval,"md ` inverno , p howells , mj hu , m luck","information & software technology ,",2002.0
279,"lp { the larch prover : version 3.1 , 1995",s garland,"mit , laboratory for computer science , http://larch . lcs . mit .",
287,scatter/gather : a cluster-based approach to browsing large doctnnent collections,"dr cutting , dr karger , jo pedersen , jw tukey","proc . acm sig1r ,",
290,four cheers for geography,s jenkins,"geography ,",
293,"merialdo & p. sindoni , g.â ?? the araneus web-base management systemâ ??","g mecca , p atzeni , a masci",acm sigmod international conference on management of,
324,efficient algorithms for large-scale topology discovery,"b donnet , p raoult , t friedman , m crovella",,
332,an empirical study of sale rates and prices in impressionist and contemporary art auctions,"o ashenfelter , k graddy","unpublished manuscript ,",
355,pp. 4-5,p assessment,,
357,"law , theory , and geography","n blomley , g clark","urban geography ,",
358,preparing for an adult education evaluation .,rc mason,"new directions for adult and continuing education ,",1993.0
359,nonvisual presentation of graphical user interfaces : contrasting two approaches,"ed mynatt , g weber",,
363,oam : an office analysis methodology . office automation group memo oam-016,"m sirbu , s schoichet , j kunin , m hammer",,1981.0
369,guide to finding pediatric injury prevention public education materials,t smith,"journal of emergency nursing ,",1997.0
371,an overview of web services security,"p kearney , j chapman , n edwards , m gifford , l he","bt technology journal ,",2004.0
386,experimental results on qcd from cleo ii,t browder,"proc . 28th international conference on high energy physics ,",
389,responses of grizzly bears to seismic surveys in northern alaska,"pe reynolds , hv reynolds , eh follmann","international conference on bear research and management ,",
400,eigenvalue problem for linear 2 nx 2-ports,ag onishchuk,"radiotekhnika i elektronika ,",1978.0
405,capturing causality in distributed systems,"m raynal , m singhal","ieee computer ,",
412,tolerance graphs and orders,s felsner,"lecture notes in computer science ,",1993.0
415,campus energy management programs .,ma pierce,"new directions for higher education ,",1992.0
421,possibilities for natural enemies in heliothis management and the contribution of the commonwealth,"dj greathead , dj girling","proc . int . workshop ,",
423,stuttering measurement training,"jc ingham , rj ingham","santa barbara , ca : university of california , santa barbara ,",
438,videoanywhere : a system for searching and managing distributed video assets .,acms anthology,"sigmod record ,",1999.0
450,oral or topical nasal steroids for hearing loss associated with otitis media with effusion in,"cc butler , jh van der voort","cochrane database syst rev ,",2002.0
455,amniotic fluid acetylcholinesterase as a possible diagnostic test for neural tube defects in early,"ad smith , nj wald , hs cuckle , gm stirrat , m bobrow","lancet i ,",1979.0
463,five-year multicenter retrospective review of cyclobenzaprine toxicity,"ha spiller , ml winter , kv mann , dj borys , s muir ,","journal of emergency medicine ,",1995.0
492,imhexr mcfc stack scale-up,"t benjamin , g rezniko , r donelsonâ ? ¦","proceedings of the 27th intersociety energy conversion & hellip ; ,",1992.0
497,issues in co-operative software engineering using globally distributed teams,"i gorton , s motwani","information and software technology ,",1996.0
526,the family of concurrent logic programming languages,e shapiro,"acm computing surveys ( csur ) ,",1989.0
530,"lower bounds for the weak pigeonhole principle beyond resolution , 2002","a atserias , ml bonet , jl esteban","& hellip ; and computation . preliminary version in proc . 28th & hellip ; ,",
531,manual for assessment of quality of object relations,"we piper , m mccallum , as joyce","unpublished manuscript ,",
546,kinetics of aperiodic cascade boosters with respect to their operating speed and safety,"vf kolesov , vk khoruzhii",at .,
565,diffraction pattern sampling for automatic pattern recognition,"gg lendaris , gl stanley","proc . ieee ,",1970.0
569,verifiable secret sharing and multiparty protocols with honest majority,"t rabin , m ben-or","& hellip ; of the twenty-first annual acm symposium on theory of & hellip ; ,",1989.0
573,final report,l koehnken,"mount lyell remediation research and demonstration program . & hellip ; ,",
574,concluding observations .,dw steeples,"new directions for higher education ,",1986.0
579,a coherence theorem for ordered families of probability measures on a partially ordered space,da ross,"unpublished manuscript ,",1993.0
584,schubert varieties and cycle spaces,"at huckleberry , ja wolf",,
591,a performance study of four index structures for set-valued attributes of low cardinality,"s helmer , g moerkotte","the vldb journal the international journal on very large & hellip ; ,",2003.0
594,morphological diagnosis and heterogeneity . atlas of tumor pathology : tumors of the lower respiratory,"tv colby , mn koss , wd travis","md ,",
595,"ands . clark.â ?? collaborativewritingasaprocessofformalizinggroup memory , â ??","m mandviwalla , k sandoe","proc . 28th annual hawaii int . conf . on system sciences ,",
598,singularity design motivation,"gc hunt , jr larus","technical report msr-tr-2004-105 , microsoft corporation , dec. .",
626,"kriber-an interactive pascal program to calculate distances and angles , to generate input files for",r bialek,"& hellip ; kristallografie und petrografie , eth zurich , switzerland (",
636,"erp project dynamics and enacted dialogue : perceived understanding , perceived leeway , and the nature","p besson , f rowe","acm sigmis database ,",2001.0
644,"s. peyt on jones , a short-cut to deforestation","a gill , j launchbury",proc . acm,
