id,name,addr,city,phone,type,class
1,` art \ 's delicatessen ',' 12224 ventura blvd. ',` studio city ',818/762 -1221,american,1
10,` restaurant katsu ',' 1972 n. hillhurst ave. ',` los angeles ',213/665 -1891,asian,10
12,` le chardonnay ',' 8284 melrose ave. ',` los angeles ',213/655 -8880,french,12
13,` locanda veneta ',' 3rd st. ',` los angeles ',310/274 -1893,italian,13
14,matsuhisa,' 129 n. la cienega blvd. ',` beverly hills ',310/659 -9639,asian,14
27,` cafe des artistes ',' 1 w. 67th st. ',` new york ',212/877 -3500,continental,27
36,` gramercy tavern ','42 e. 20th st. between park ave. s and broadway ',` new york ',212/477 -0777,american,36
47,` mesa grill ',' 102 5th ave. between 15th and 16th sts . ',` new york ',212/807 -7400,american,47
49,montrachet,' 239 w. broadway between walker and white sts . ',` new york ',' 212 / 219-2777 ',french,49
51,` park avenue cafe ',' 100 e. 63rd st. ',` new york ',212/644 -1900,american,51
52,petrossian,' 182 w. 58th st. ',` new york ',212/245 -2214,french,52
54,pisces,'95 ave. a at 6th st. ',` new york ',212/260 -6660,seafood,54
56,` river cafe ',' 1 water st. at the east river ',brooklyn,718/522 -5200,american,56
58,` second avenue deli ',' 156 2nd ave. at 10th st. ',` new york ',212/677 -0606,delicatessen,58
70,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70
74,abruzzi,' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/261 -8186,italian,74
76,` bone \ 's ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76
80,delectables,' 1 margaret mitchell sq. ',atlanta,404/681 -2909,american,80
86,` mary mac \ 's tea room ',' 224 ponce de leon ave. ',atlanta,404/876 -1800,southern,86
94,` alain rondelli ',' 126 clement st. ',` san francisco ',415/387 -0408,french,94
110,` ritz-carlton restaurant and dining room ',' 600 stockton st. ',` san francisco ',415/296 -7465,american,110
115,` adriano \ 's ristorante ',' 2930 beverly glen circle ',` los angeles ',310/475 -9807,italian,112
